"","Issue_Resolution","Issue_Category","Issue_Severity","Support_Level","Support_Channel","Building","City","Position","Country","Tenure_Months","Career_Desc","Division"
"30416"," Workaround","Apps","Sev1",NA,"Chat","MOBILE","Chevy chase","Technology Solutions","US ",55,"IC4","D006433"
"30254"," Workaround","Apps","Sev3",NA,"Email","MOBILE","Tokyo","Licensing","JP ",47,"IC3","D001939"
"33862"," User Education","Apps","Sev3",NA,"Chat","B0815","Cambridge","Software Engineering","US ",246,"MGR6","D006433"
"78093"," Workaround","Apps","Sev1",NA,"Chat","MOBILE","Lisbon","Support Engineering","PT ",28,"IC3","D001980"
"58885","Unknown","Apps","Sev2",NA,"Email","MOBILE","Bogota","Solution Sales","CO ",155,"IC4","D016128"
"60755","Resolved by Caller","Apps","Sev2",NA,"Email","B0809","Sunnyvale","Finance","US ",24,"IC4","D006433"
"73348"," Workaround","Apps","Sev2","Silver","Chat","MOBILE","Gurgaon","Technical Delivery","IN ",133,"IC4","D013158"
"52869","Unknown","Apps","Sev3",NA,"Email","MOBILE","Chennai","Technical Delivery","IN ",74,"IC4","D013158"
"27243"," User Education","Apps","Sev2","Silver","Email","MOBILE","New Delhi","Relationship Management","IN ",30,"IC3","D013158"
"33133"," Workaround","Apps","Sev2",NA,"Email","MOBILE","Downers Grove","Business Support","US ",87,"IC6","D006433"
"46688"," User Education","Apps","Sev3",NA,"Email","B0370","New York","Licensing","US ",21,"IC3","D006433"
"64907"," Workaround","Apps","Sev2",NA,"Email","B0095","Tokyo","Account Management","JP ",11,"IC4","D001939"
"77811"," Workaround","Apps","Sev2","Silver","Email","B0079","Irvine","Sales Leadership","US ",148,"MGR3","D006433"
"42706","Software Update","Apps","Sev2",NA,"Chat","MOBILE","Singapore","Sales Excellence","SG ",40,"IC4","D009703"
"60430"," Workaround","Apps","Sev2",NA,"Email","B0086","New York","Relationship Management","US ",21,"IC3","D006433"
"7821","Unknown","Apps","Sev2",NA,"Phone","B0228","Sunnyvale","Supply Chain","US ",69,"IC4","D006433"
"41703","Unknown","Apps","Sev3",NA,"Chat","MOBILE","Milan","Relationship Management","IT ",229,"MGR3","D008747"
"53713","Unknown","Apps","Sev3","Silver","Phone","HOME OFFICE",NA,"Program Management","GB ",17,"IC4","D010405"
"29506"," Workaround","Apps","Sev2",NA,"Email","B0848","Mumbai","Technical Delivery","IN ",11,"IC4","D007359"
"30681"," Workaround","Apps","Sev2",NA,"Chat","MOBILE","Mumbai","Relationship Management","IN ",13,"IC2","D007359"
"38256","Unknown","Apps","Sev1",NA,"Chat","MOBILE","London","Business Operations","GB ",46,"MGR4","D010405"
"56549","Unknown","Apps","Sev3","Silver","Chat","MOBILE","Espoo","Account Management","FI ",26,"IC5","D013149"
"52715"," Workaround","Apps","Sev3","Silver","Phone","MOBILE","Cork","Program Management","IE ",96,"IC4","D015571"
"17539"," Workaround","Apps","Sev2",NA,"Email","MOBILE","Chennai","Relationship Management","IN ",71,"IC4","D013158"
"67765"," Workaround","Apps","Sev2",NA,"Email","B0095","Tokyo","Relationship Management","JP ",126,"IC4","D001939"
"80716"," Workaround","Apps","Sev1",NA,"Chat","HOME OFFICE","Madison","Relationship Management","US ",5,"IC4","D006433"
"4885"," User Education","Apps","Sev1","Silver","Chat","MOBILE","Canberra","Support Delivery","AU ",17,"IC3","D009170"
"61569"," Workaround","Apps","Sev3",NA,"Email","B0934","Mumbai","Service Engineering","IN ",162,"MGR3","D013936"
"10293"," User Education","Apps","Sev2",NA,"Phone","MOBILE","Sydney","Technology Solutions","AU ",213,"MGR3","D009170"
"48156"," User Education","Apps","Sev1","Silver","Chat","MOBILE","Jakarta","Relationship Management","ID ",58,"IC4","D016205"
"10147","Resolved by Caller","Apps","Sev2",NA,"Chat","MOBILE","Montreal","Technical Delivery","CA ",14,"IC3","D008805"
"29180"," Workaround","Apps","Sev3",NA,"Chat","MOBILE","Berlin","Relationship Management","DE ",12,"IC4","D014045"
"79638"," Workaround","Apps","Sev2",NA,"Email","MOBILE","Downers Grove","Relationship Management","US ",44,"IC3","D006433"
"20961"," User Education","Apps","Sev1",NA,"Chat","B0097","New Delhi","Technical Delivery","IN ",12,"IC3","D009696"
"81843","Resolved by Caller","Apps","Sev2",NA,"Email","MOBILE","Fort Lauderdale","Operations","US ",82,"IC3","D006433"
"31654"," User Education","Apps","Sev2",NA,"Email","B0640","London","Relationship Management","GB ",91,"IC3","D010405"
"55960"," Workaround","Apps","Sev2",NA,"Email","B0304","Sunnyvale","Service Engineering","US ",47,"IC3","D006433"
"32810","Software Update","Apps","Sev2",NA,"Email","B0391","Mexico City","Relationship Management","MX ",20,"IC3","D009124"
"20816"," User Education","Help","Sev2",NA,"Email","B0377","Kongens Lyngby","Business Support","DK ",5,NA,"D013665"
"51074"," User Education","Apps","Sev2",NA,"Email","B0097","New Delhi","Support Engineering","IN ",25,"IC2","D009696"
"40390"," Workaround","Apps","Sev2",NA,"Phone","B0226","Wuxi","Support Engineering","CN ",16,"IC2","D005841"
"44944","Unknown","Apps","Sev2",NA,"Email","B0818","Sunnyvale","Risk Management","US ",43,"IC4","D006433"
"43611","Software Update","Apps","Sev2",NA,"Chat","B0071","Winnipeg","Relationship Management","CA ",124,"IC4","D008805"
"82858"," Workaround","Apps","Sev2",NA,"Phone","B0933","sapporo","Account Management","JP ",256,"IC5","D001939"
"61679","Unknown","Apps","Sev2",NA,"Chat","MOBILE","Lehi","Relationship Management","US ",64,"IC4","D006433"
"70537"," User Education","Apps","Sev2",NA,"Email","MOBILE","Mumbai","Software Engineering","IN ",22,"IC2","D013936"
"4391"," User Education","Apps","Sev2",NA,"Chat","HOME OFFICE","Sacramento","Relationship Management","US ",143,"IC4","D006433"
"1917","Non-Actionable","Apps","Sev2",NA,"Email","B0226","Wuxi","Technical Delivery","CN ",31,"IC2","D005841"
"81748"," Workaround","Apps","Sev1","Gold","Chat","B0640","London","Relationship Management","GB ",30,"MGR3","D010405"
"69762"," User Education","Apps","Sev2",NA,"Chat","B0058","Sunnyvale","Software Engineering","US ",131,"EXEC5","D006433"
"30648","Resolved by Caller","Apps","Sev3",NA,"Chat","B0662","Wallisellen","Support Delivery","CH ",125,"IC4","D019166"
"30084","Unknown","Apps","Sev2",NA,"Phone","B0934","Mumbai","Program Management","IN ",119,"IC4","D013936"
"49478"," Workaround","Apps","Sev1",NA,"Chat","MOBILE","Cologne","Relationship Management","DE ",7,"IC3","D014045"
"35058"," Workaround","Apps","Sev1",NA,"Email","B0035","Sunnyvale","Tax","US ",38,"IC4","D006433"
"14750"," Request Complete","Apps","Sev2",NA,"Chat","HOME OFFICE","Alexandria","Relationship Management","US ",55,"IC4","D006433"
"7053","Unknown","Apps","Sev2",NA,"Email","B0868","Portland","Retail","US ",45,"IC6","D006433"
"74230"," Workaround","Apps","Sev1",NA,"Email","B0672","New York","Business Support","US ",201,"IC6","D006433"
"52279"," Workaround","Apps","Sev3",NA,"Email","MOBILE","Kista","Relationship Management","SE ",62,"IC5","D013117"
"68774","Non-Actionable","Help","Sev2",NA,"Email","MOBILE","Kista","Solution Sales","SE ",45,"MGR3","D013117"
"71813"," Workaround","Apps","Sev1",NA,"Chat","B0426","Bucharest","Account Management","RO ",112,"IC4","D009260"
"76351","Non-Actionable","Help","Sev2",NA,"Email","B0297","Sunnyvale","HR Talent Acquisition","US ",27,"IC4","D006433"
"43483"," Workaround","Apps","Sev2",NA,"Chat","B0499","Oslo-Lysaker","Account Management","NO ",46,"MGR2","D009472"
"59923","Non-Reproducible","Infrastructure","Sev1",NA,"Chat","MOBILE","Mumbai","Relationship Management","IN ",10,"IC2","D007359"
"62264","Unknown","Apps","Sev2",NA,"Chat","B0123","Sunnyvale","Software Engineering","US ",109,"IC4","D006433"
"34389"," Workaround","Apps","Sev2",NA,"Email","B0383","Singapore","Business Operations","SG ",12,"IC4","D018994"
"63137"," User Education","Apps","Sev2",NA,"Chat","MOBILE","Reno","Operations","US ",156,"IC3","D006433"
"27289","Software Update","Apps","Sev1",NA,"Chat","MOBILE","Zaventem","Relationship Management","BE ",139,"IC4","D010467"
"73931"," User Education","Apps","Sev2",NA,"Chat","MOBILE","Mumbai","Technical Delivery","IN ",8,"IC2","D007359"
"2013"," User Education","Apps","Sev2",NA,"Email","B0377","Kongens Lyngby","Technology Solutions","DK ",3,NA,"D013665"
"81528"," Workaround","Apps","Sev1",NA,"Chat","B0370","New York","Inside Sales","US ",12,"IC1","D006433"
"49419"," User Education","Apps","Sev1","Silver","Chat","MOBILE","Toulouse","Support Engineering","FR ",305,"IC4","D008654"
"8738"," Request Complete","Apps","Sev1",NA,"Email","MOBILE","Wallisellen","Account Management","CH ",16,"IC4","D019166"
"68069"," Workaround","Apps","Sev2",NA,"Email","B0264","Los Angeles","Program Management","US ",111,"IC4","D006433"
"7255"," User Education","Apps","Sev2",NA,"Email","MOBILE","Vienna","Relationship Management","AT ",134,"IC4","D004071"
"55983","Unknown","Apps","Sev1",NA,"Chat","MOBILE","Stuttgart","Relationship Management","DE ",20,"IC5","D014045"
"14466"," Request Complete","Apps","Sev2",NA,"Chat","MOBILE","Moscow","Sales Leadership","RU ",148,"MGR4","D006874"
"54708"," Workaround","Apps","Sev2",NA,"Email","B0809","Sunnyvale","Finance","US ",79,"IC4","D006433"
"81997","Unknown","Apps","Sev2",NA,"Phone","B0921","Seattle","Program Management","US ",6,"IC4","D006433"
"34425"," User Education","Apps","Sev2",NA,"Email","MOBILE","Schiphol","Relationship Management","NL ",133,"IC4","D008233"
"29386"," User Education","Apps","Sev3",NA,"Email","B0068","Sunnyvale","Program Management","US ",93,"IC3","D006433"
"3703"," User Education","Apps","Sev1","Silver","Chat","B0135","Reno","Operations","US ",51,"IC2","D006433"
"40584","Unknown","Apps","Sev2",NA,"Chat","B0035","Sunnyvale","Finance","US ",33,"IC3","D006433"
"36324"," User Education","Apps","Sev3",NA,"Phone","MOBILE",NA,"Account Management","FR ",146,"IC4","D008654"
"77552"," Workaround","Apps","Sev1",NA,"Chat","B0029","Austin","Support Engineering","US ",135,"IC4","D006433"
"52278"," Workaround","Apps","Sev2","Silver","Chat","HOME OFFICE","Murrieta","Relationship Management","US ",45,"IC4","D006433"
"72256",NA,"Infrastructure","Sev3","Silver","Email","B0934","Mumbai","Service Engineering","IN ",143,"IC3","D013936"
"83258"," Workaround","Apps","Sev1",NA,"Chat","B0867","San Jose","Inside Sales","CR ",9,"IC3","D005412"
"7723","Resolved by Caller","Apps","Sev1",NA,"Chat","HOME OFFICE","Lawrenceville","Relationship Management","US ",48,"IC2","D006433"
"56000","Non-Actionable","Apps","Sev3","Platinum","Email","B0565","Sunnyvale","Program Management","US ",28,"IC4","D006433"
"12905","Software Update","Apps","Sev2",NA,"Chat","MOBILE","Johannesburg","Relationship Management","ZA ",39,"IC4","D018171"
"32786","Non-Reproducible","Apps","Sev2",NA,"Email","B0207","Sunnyvale","Finance","US ",48,"IC4","D006433"
"22710"," Request Complete","Apps","Sev2",NA,"Email","B0565","Sunnyvale","Program Management","US ",51,"IC3","D006433"
"39677"," Workaround","Apps","Sev2",NA,"Email","B0809","Sunnyvale","Finance","US ",78,"IC4","D006433"
"30094"," Workaround","Apps","Sev2",NA,"Phone","B0383","Singapore","Operations","SG ",110,"IC4","D018994"
"48189"," Workaround","Apps","Sev2",NA,"Phone","B0565","Sunnyvale","Program Management","US ",26,"IC4","D006433"
"15726","Unknown","Apps","Sev2",NA,"Phone","B0589","Sunnyvale","Software Engineering","US ",19,"IC2","D006433"
"29744"," User Education","Apps","Sev2",NA,"Chat","B0205","Reno","Operations","US ",21,"IC2","D006433"
"23123"," Request Complete","Apps","Sev1",NA,"Email","MOBILE","Berlin","Account Management","DE ",2,NA,"D014045"
"53073"," Workaround","Apps","Sev2",NA,"Email","B0809","Sunnyvale","Finance","US ",82,"IC4","D006433"
"52915"," User Education","Apps","Sev2",NA,"Email","MOBILE","Prague","Program Management","CZ ",12,"IC4","D008013"
"39074"," Workaround","Apps","Sev2",NA,"Email","B0741","Sunnyvale","Software Engineering","US ",35,"IC3","D006433"
"19014"," User Education","Apps","Sev1","Silver","Chat","B0377","Kongens Lyngby","Business Operations","DK ",135,"IC5","D013665"
"11413"," Request Complete","Apps","Sev2",NA,"Email","B0711","Seattle","Business Operations","US ",139,"IC4","D006433"
"48388"," Workaround","Apps","Sev2",NA,"Email","B0850","Sunnyvale","Service Engineering","US ",34,"IC3","D006433"
"19285"," Workaround","Apps","Sev2",NA,"Email","B0658","Auckland","Business Operations","NZ ",105,"IC4","D018458"
"6983"," Workaround","Apps","Sev3",NA,"Email","MOBILE","Vienna","Relationship Management","AT ",55,"IC4","D004071"
"64288"," Workaround","Apps","Sev2",NA,"Phone","MOBILE","London","Relationship Management","GB ",9,"IC4","D010405"
"65487"," User Education","Apps","Sev2",NA,"Email","MOBILE","Kista","Sales Leadership","SE ",188,"MGR3","D013117"
"33386","Software Update","Apps","Sev2",NA,"Email","MOBILE","Chennai","Business Operations","IN ",38,"IC2","D001578"
"38566","Unknown","Apps","Sev3",NA,"Chat","MOBILE","Canberra","Technical Delivery","AU ",55,"IC3","D009170"
"82235","Resolved by Caller","Apps","Sev2",NA,"Email","B0934","Mumbai","Program Management","IN ",22,"IC4","D013936"
"18143"," User Education","Help","Sev3",NA,"Chat","MOBILE","New York","Support Delivery","US ",13,"IC3","D006433"
"46081"," Workaround","Apps","Sev2",NA,"Email","B0222","Dubai","HR Management","AE ",9,"IC3","D002536"
"29729"," Workaround","Apps","Sev2",NA,"Chat","HOME OFFICE","Randolph","Technical Delivery","US ",177,"MGR3","D006433"
"7613"," Workaround","Apps","Sev1",NA,"Chat","MOBILE","Oslo-Lysaker","Business Strategy","NO ",6,"IC4","D009472"
"50317","Software Update","Apps","Sev2",NA,"Email","B0607","Rome","Account Management","IT ",240,"IC5","D008747"
"8773"," User Education","Apps","Sev2",NA,"Chat","B0352","Zagreb","Account Management","HR ",12,"IC3","D000717"
"17351"," Workaround","Apps","Sev2",NA,"Email","B0938","Sunnyvale","Software Engineering","US ",137,"IC3","D006433"
"2049"," User Education","Apps","Sev2",NA,"Email","B0264","Los Angeles","Business Operations","US ",168,"IC3","D006433"
"13958"," Workaround","Apps","Sev3",NA,"Email","B0724","Bellevue","Solution Sales","US ",184,"IC4","D006433"
"40521"," User Education","Apps","Sev2",NA,"Email","MOBILE","Wallisellen","Relationship Management","CH ",162,"IC4","D019166"
"25384","Non-Reproducible","Apps","Sev1",NA,"Chat","B0226","Wuxi","Support Engineering","CN ",18,"IC2","D005841"
"74001","Unknown","Apps","Sev2",NA,"Chat","MOBILE","Athens","Relationship Management","GR ",145,"IC4","D003670"
"41133"," Workaround","Apps","Sev2",NA,"Email","B0809","Sunnyvale","Finance","US ",21,"IC4","D006433"
"42779","Unknown","Apps","Sev1",NA,"Chat","MOBILE","Hamburg","Relationship Management","DE ",179,"IC4","D014045"
"74109"," Workaround","Apps","Sev2",NA,"Chat","MOBILE","Denver","Solution Sales","US ",13,"IC4","D006433"
"15257"," Workaround","Apps","Sev2",NA,"Email","MOBILE","Hamburg","Account Management","DE ",39,"IC4","D014045"
"47887"," Workaround","Apps","Sev2",NA,"Chat","MOBILE","Tokyo","Relationship Management","JP ",77,"IC2","D001939"
"50866","Software Update","Apps","Sev2",NA,"Email","B0162","Huntington station","Retail","US ",64,"IC6","D006433"
"33810"," Workaround","Apps","Sev3",NA,"Chat","MOBILE","Irvine","Technology Solutions","US ",11,"IC4","D006433"
"43953"," Workaround","Apps","Sev2",NA,"Email","B0264","Los Angeles","Program Management","US ",112,"IC4","D006433"
"53526"," Workaround","Apps","Sev2",NA,"Email","B0097","New Delhi","Technical Delivery","IN ",63,"IC3","D009696"
"22057"," Workaround","Apps","Sev2",NA,"Email","MOBILE","Ho Chi Minh City","Licensing","VN ",13,"IC3","D009416"
"7405","Non-Actionable","Apps","Sev2",NA,"Email","B0228","Sunnyvale","Manufacturing","US ",13,"IC4","D006433"
"5500"," Workaround","Apps","Sev1",NA,"Chat","HOME OFFICE",NA,"Relationship Management","CA ",167,"IC4","D008805"
"4317","Unknown","Apps","Sev2",NA,"Chat","B0900","Sunnyvale","Software Engineering","US ",68,"IC4","D006433"
"48731","Unknown","Apps","Sev1",NA,"Chat","B0403","Herzelia","Support Engineering","IL ",29,"IC3","D006908"
"64554"," Workaround","Apps","Sev2",NA,"Chat","B0142","New Delhi","Support Engineering","IN ",11,"IC2","D009696"
"38279","Unknown","Apps","Sev2",NA,"Email","MOBILE","Reston","Business Operations","US ",97,"IC5","D006433"
"69524"," User Education","Apps","Sev2",NA,"Email","B0383","Singapore","Operations","SG ",146,"IC4","D009703"
"38520","Unknown","Apps","Sev2",NA,"Email","B0135","Reno","Finance","US ",52,"IC3","D006433"
"52672","Software Update","Apps","Sev2",NA,"Email","B0677","Cork","Business Operations","IE ",162,"IC3","D015571"
"28411"," Workaround","Apps","Sev2",NA,"Email","B0685","Sunnyvale","Business Intelligence","US ",23,"IC3","D006433"
"51312"," Workaround","Apps","Sev3",NA,"Email","MOBILE","Malvern","Account Management","US ",66,"IC4","D006433"
"25547"," User Education","Apps","Sev2",NA,"Email","MOBILE","Schiphol","Business Development","NL ",18,"IC3","D008233"
"58601","Software Update","Apps","Sev3",NA,"Email","B0113","taipei","Software Engineering","TW ",31,"IC3","D008850"
"79169"," User Education","Apps","Sev2",NA,"Chat","B0934","Mumbai","Software Engineering","IN ",4,"IC2","D013936"
"26881"," User Education","Apps","Sev2",NA,"Email","B0153","MADRID","Licensing","ES ",253,"IC4","D004024"
"54996"," User Education","Apps","Sev2",NA,"Email","B0589","Sunnyvale","Program Management","US ",29,"IC4","D006433"
"81122","Resolved by Caller","Apps","Sev2",NA,"Chat","MOBILE","Schiphol","Business Development","NL ",71,"MGR3","D008233"
"42740","Software Update","Apps","Sev2",NA,"Chat","MOBILE","New Delhi","Relationship Management","IN ",11,"IC3","D010831"
"31562"," User Education","Apps","Sev2",NA,"Chat","MOBILE","Melbourne","Relationship Management","AU ",50,"IC3","D009170"
"73052"," Workaround","Apps","Sev3",NA,"Email","B0377","Kongens Lyngby","Technical Delivery","DK ",56,"IC4","D013665"
"79909","Unknown","Apps","Sev1",NA,"Chat","B0040","Toulouse","Account Management","FR ",302,"IC4","D008654"
"20774","Resolved by Caller","Help","Sev3",NA,"Phone","B0934","Mumbai","IT Operations","IN ",18,"IC4","D013936"
"18118"," User Education","Apps","Sev1",NA,"Chat","HOME OFFICE","Tacoma","Relationship Management","US ",17,"IC3","D006433"
"2254"," Workaround","Apps","Sev1",NA,"Chat","MOBILE","Sydney","Inside Sales","AU ",30,"IC1","D009170"
"32989"," Workaround","Apps","Sev2",NA,"Email","B0809","Sunnyvale","Finance","US ",18,"IC3","D006433"
"21682"," Request Complete","Apps","Sev3",NA,"Email","B1023","sunnyvale","Hardware Engineering","US ",77,"IC4","D006433"
"39022","Resolved by Caller","Apps","Sev2",NA,"Email","B0809","Sunnyvale","Finance","US ",183,"IC3","D006433"
"45200"," Workaround","Apps","Sev2",NA,"Chat","MOBILE","Sydney","Business Development","AU ",34,"IC2","D009170"
"5691","Resolved by Caller","Apps","Sev1",NA,"Phone","MOBILE","Berlin","Business Operations","DE ",45,"IC4","D014045"
"56762","Software Update","Apps","Sev2",NA,"Phone","B0123","Sunnyvale","Program Management","US ",20,"IC3","D006433"
"68404"," Workaround","Infrastructure","Sev2",NA,"Email","B0685","Sunnyvale","Business Intelligence","US ",20,"IC3","D006433"
"61871","Unknown","Apps","Sev2",NA,"Email","B0934","Mumbai","Service Engineering","IN ",49,"IC3","D013936"
"25141"," Workaround","Apps","Sev2","Silver","Email","B0809","Sunnyvale","Finance","US ",113,"IC4","D006433"
"71882"," Workaround","Apps","Sev1",NA,"Chat","HOME OFFICE","Frederick","Operations","US ",186,"IC3","D006433"
"9406","Non-Actionable","Apps","Sev2","Gold","Email","B0461","Sunnyvale","Business Operations","US ",35,"IC3","D006433"
"71906"," User Education","Apps","Sev2",NA,"Email","B0892","Cork","Account Management","IE ",200,"IC3","D015571"
"48653"," Workaround","Apps","Sev2",NA,"Phone","B0635","Atlanta","Relationship Management","US ",21,"IC3","D006433"
"4121","Unknown","Apps","Sev2",NA,"Email","B0264","Los Angeles","Program Management","US ",332,"IC3","D006433"
"28096"," Workaround","Apps","Sev2",NA,"Email","B0776","Sunnyvale","Marketing","US ",128,"IC4","D006433"
"63923"," User Education","Apps","Sev1",NA,"Chat","B0185","Sunnyvale","Business Support","US ",58,"IC6","D006433"
"63232"," Workaround","Apps","Sev2",NA,"Email","MOBILE","Cork","Licensing","IE ",200,"IC5","D015571"
"12973"," User Education","Apps","Sev1",NA,"Chat","B0672","New York","Support Engineering","US ",180,"IC4","D006433"
"49390","Software Update","Apps","Sev3",NA,"Chat","MOBILE","Riyadh","Relationship Management","SA ",15,"IC3","D005568"
"27443"," User Education","Apps","Sev1",NA,"Chat","HOME OFFICE","Covington","Relationship Management","US ",223,"IC3","D006433"
"5796"," Workaround","Apps","Sev2",NA,"Phone","B0264","Los Angeles","Service Engineering","US ",35,"IC3","D006433"
"9941","Unknown","Apps","Sev1",NA,"Email","B0685","Sunnyvale","Program Management","US ",17,"IC4","D006433"
"82510"," Workaround","Apps","Sev2",NA,"Phone","B0343","Sunnyvale","Software Engineering","US ",11,"IC2","D006433"
"29876","Unknown","Apps","Sev2","Silver","Email","B0818","Sunnyvale","Operations","US ",125,"IC4","D006433"
"56002"," User Education","Apps","Sev2","Silver","Chat","MOBILE","Rio de Janeiro","Relationship Management","BR ",34,"IC2","D007007"
"82650"," Request Complete","Apps","Sev3",NA,"Email","MOBILE","Cologne","Operations","DE ",37,"MGR3","D014045"
"35379"," User Education","Apps","Sev3",NA,"Email","B0848","Mumbai","Program Management","IN ",25,"IC4","D013936"
"17808","Unknown","Apps","Sev2",NA,"Email","MOBILE","New York","Technology Strategy","US ",60,"IC3","D006433"
"21534"," Workaround","Apps","Sev2",NA,"Chat","B0097","New Delhi","Support Engineering","IN ",146,"MGR2","D009696"
"79278","Resolved by Caller","Apps","Sev1",NA,"Chat","B0622","Mississauga","Business Operations","CA ",7,NA,"D008805"
"11081"," User Education","Apps","Sev2",NA,"Email","B0068","Sunnyvale","Content Publishing","US ",243,"IC4","D006433"
"22212"," User Education","Apps","Sev2",NA,"Email","B0135","Reno","Operations","US ",29,"IC2","D006433"
"14733","Unknown","Apps","Sev1","Silver","Chat","MOBILE","London","Technical Delivery","GB ",45,"IC4","D010405"
"68140"," Request Complete","Apps","Sev3",NA,"Email","MOBILE","Schiphol","Licensing","NL ",40,"IC5","D008233"
"25094","Unknown","Apps","Sev2",NA,"Email","B0809","Sunnyvale","Finance","US ",18,"IC3","D006433"
"70971"," User Education","Apps","Sev1",NA,"Phone","HOME OFFICE","Windsor","Relationship Management","US ",16,"IC3","D006433"
"46626"," Workaround","Apps","Sev2",NA,"Email","B0123","Sunnyvale","Service Engineering","US ",71,"IC3","D006433"
"74067"," Workaround","Apps","Sev1",NA,"Chat","B0738","Cork","Inside Sales","IE ",7,"IC2","D015571"
"30263"," User Education","Apps","Sev2",NA,"Chat","MOBILE","Mumbai","Technical Delivery","IN ",11,"IC2","D007359"
"72293","Unknown","Apps","Sev3",NA,"Email","B0684","Los Angeles","Program Management","US ",70,"IC5","D006433"
"23005"," Request Complete","Apps","Sev2",NA,"Email","MOBILE","Dubai","Marketing","AE ",127,"IC5","D002536"
"54412","Unknown","Apps","Sev2",NA,"Chat","MOBILE","Berlin","Business Operations","DE ",324,"IC4","D014045"
"43397"," User Education","Apps","Sev2",NA,"Phone","MOBILE","Tokyo","Business Operations","JP ",259,"IC4","D001939"
"59609"," Workaround","Apps","Sev1",NA,"Chat","MOBILE","bucharest","Business Operations","RO ",122,"IC4","D009260"
"3010"," Workaround","Apps","Sev1",NA,"Chat","MOBILE","Barueri","Support Delivery","BR ",28,"IC3","D007007"
"3086"," Request Complete","Apps","Sev2",NA,"Chat","MOBILE","Moscow","Solution Sales","RU ",74,"IC5","D006874"
"13316"," Request Complete","Apps","Sev2",NA,"Chat","MOBILE","Cork","Account Management","IE ",19,"IC4","D015571"
"12607","Resolved by Caller","Apps","Sev1",NA,"Chat","B0044","SUNNYVALE","Software Engineering","US ",15,"IC2","D006433"
"38990"," User Education","Apps","Sev3",NA,"Chat","MOBILE","Geneva","Relationship Management","CH ",160,"IC4","D019166"
"58876","Unknown","Apps","Sev1","Silver","Chat","MOBILE","Tempe","Support Engineering","US ",164,"MGR4","D006433"
"43235"," User Education","Apps","Sev2",NA,"Email","MOBILE","Lima","Sales Leadership","PE ",202,"IC4","D002957"
"68758","Non-Actionable","Help","Sev2",NA,"Email","MOBILE","Wallisellen","Solution Sales","CH ",42,"IC3","D019166"
"56624"," Workaround","Apps","Sev2","Silver","Email","B0304","Sunnyvale","Software Engineering","US ",175,"EXEC4","D006433"
"30239"," User Education","Apps","Sev2","Silver","Email","MOBILE","Beijing","Technical Delivery","CN ",52,"IC4","D005841"
"45226"," Workaround","Apps","Sev2","Silver","Phone","B0608","Cologne","Solution Sales","DE ",294,"IC5","D014045"
"29823","Software Update","Apps","Sev2",NA,"Email","B0862","Sunnyvale","Software Engineering","US ",28,"IC2","D006433"
"81478"," User Education","Apps","Sev2",NA,"Email","B0125","Sunnyvale","Data Science","US ",23,"IC3","D006433"
"65866"," Workaround","Apps","Sev1",NA,"Chat","MOBILE","Alpharetta","Support Delivery","US ",37,"IC4","D006433"
"76234"," Request Complete","Apps","Sev3",NA,"Email","B0391","Mexico City","Operations","MX ",34,"IC3","D009124"
"58651"," Request Complete","Apps","Sev2",NA,"Email","B0437","Sunnyvale","Software Engineering","US ",51,"IC2","D006433"
"35833"," Workaround","Apps","Sev2",NA,"Email","MOBILE","Sydney","Relationship Management","AU ",115,"IC3","D009170"
"28387","Software Update","Apps","Sev2",NA,"Email","MOBILE","London","Business Operations","GB ",154,"IC4","D010405"
"21031"," Workaround","Apps","Sev1",NA,"Chat","MOBILE","Sydney","Relationship Management","AU ",35,"IC3","D009170"
"22121"," Workaround","Apps","Sev2",NA,"Chat","MOBILE","Schiphol","Technology Solutions","NL ",15,"IC3","D008233"
"71811"," User Education","Apps","Sev2",NA,"Chat","B0934","Mumbai","Software Engineering","IN ",79,"IC3","D013936"
"79624"," Workaround","Apps","Sev2",NA,"Email","MOBILE","Barueri","Business Operations","BR ",125,"IC2","D007007"
"81779"," User Education","Apps","Sev2",NA,"Email","B0780","Sunnyvale","Marketing","US ",43,"IC4","D006433"
"32307"," User Education","Apps","Sev2",NA,"Email","B0480","Warsaw","Technical Delivery","PL ",63,"IC4","D001666"
"40139"," Workaround","Apps","Sev2",NA,"Email","B0068","Sunnyvale","Business Operations","US ",282,"IC4","D006433"
"9793","Unknown","Apps","Sev2",NA,"Email","B0123","Sunnyvale","Software Engineering","US ",204,"IC4","D006433"
"52148"," User Education","Apps","Sev2",NA,"Email","MOBILE","Vienna","Licensing","AT ",143,"IC4","D004071"
"20914"," Workaround","Apps","Sev2",NA,"Email","B0938","Sunnyvale","Software Engineering","US ",138,"IC3","D006433"
"35585","Unknown","Apps","Sev2",NA,"Phone","B0711","Seattle","Support Engineering","US ",155,"IC4","D006433"
"77161","Non-Actionable","Help","Sev2",NA,"Email","B0228","Sunnyvale","Supply Chain","US ",40,"IC4","D006433"
"51242"," Workaround","Apps","Sev2",NA,"Email","B0730","Humacao","Manufacturing","PR ",16,"IC2","D003311"
"79416"," User Education","Apps","Sev3",NA,"Chat","MOBILE","Canberra","Technical Delivery","AU ",54,"MGR3","D009170"
"82819","Unknown","Apps","Sev1",NA,"Chat","MOBILE","Dubai","Support Delivery","AE ",166,"IC4","D002536"
